host,problem,function,dimension,instance,seed,action,baseline_best,first_f,best_h1,best_h10,best_h50,best_h100
cma,bbob_f001_i75_d05,1,5,75,0,pass,-24.45528971046659,-20.861363797680532,-24.45528971046659,-24.45528971046659,-25.16239130973152,-25.272887039967213
cma,bbob_f001_i75_d05,1,5,75,0,contract,-24.45528971046659,-23.093385763918903,-24.45528971046659,-24.45528971046659,-25.229886733323227,-25.250461910319153
cma,bbob_f001_i75_d05,1,5,75,0,contract_clip,-24.45528971046659,-23.093385763918903,-24.45528971046659,-24.45528971046659,-25.229886733323227,-25.250461910319153
cma,bbob_f001_i75_d05,1,5,75,1,pass,-23.783906231130846,-18.97699172746941,-23.783906231130846,-23.783906231130846,-24.853519686949767,-25.231411370171024
cma,bbob_f001_i75_d05,1,5,75,1,contract,-23.783906231130846,-22.32719980760559,-23.783906231130846,-24.508424572379063,-24.942427068422823,-25.30137745965987
cma,bbob_f001_i75_d05,1,5,75,1,contract_clip,-23.783906231130846,-21.72974077992142,-23.783906231130846,-23.783906231130846,-24.958465778055157,-25.158390704500267
cma,bbob_f001_i76_d05,1,5,76,0,pass,22.953077785023424,24.519619096181827,22.953077785023424,22.601492037025622,22.442997186003844,22.324015033163487
cma,bbob_f001_i76_d05,1,5,76,0,contract,22.953077785023424,23.42377466378226,22.953077785023424,22.601492037025622,22.468745370212833,22.289671570212022
cma,bbob_f001_i76_d05,1,5,76,0,contract_clip,22.953077785023424,23.42377466378226,22.953077785023424,22.601492037025622,22.468745370212833,22.289671570212022
cma,bbob_f001_i76_d05,1,5,76,1,pass,22.909564785951712,22.83787345567799,22.83787345567799,22.83787345567799,22.402366178432384,22.301007912008114
cma,bbob_f001_i76_d05,1,5,76,1,contract,22.909564785951712,22.481183821583016,22.481183821583016,22.481183821583016,22.447768016330038,22.293058763486307
cma,bbob_f001_i76_d05,1,5,76,1,contract_clip,22.909564785951712,22.47329479208865,22.47329479208865,22.47329479208865,22.306769960773,22.306769960773
cma,bbob_f002_i75_d05,2,5,75,0,pass,62221.412321029115,1615024.9643635575,62221.412321029115,20075.678275316943,3900.4590806105007,1772.9451005978344
cma,bbob_f002_i75_d05,2,5,75,0,contract,62221.412321029115,505347.46978627646,62221.412321029115,19541.63685451305,8884.125991756118,573.5786622922656
cma,bbob_f002_i75_d05,2,5,75,0,contract_clip,62221.412321029115,505347.46978627646,62221.412321029115,19541.63685451305,8884.125991756118,573.5786622922656
cma,bbob_f002_i75_d05,2,5,75,1,pass,13617.079684399665,39076.54207926557,13617.079684399665,13617.079684399665,593.789384329235,-279.55311186413155
cma,bbob_f002_i75_d05,2,5,75,1,contract,13617.079684399665,7747.337818361449,7747.337818361449,7747.337818361449,672.3100223977385,-479.3271443959184
cma,bbob_f002_i75_d05,2,5,75,1,contract_clip,13617.079684399665,7747.337818361449,7747.337818361449,7747.337818361449,672.3100223977385,-479.3271443959184
cma,bbob_f002_i76_d05,2,5,76,0,pass,12852.931007358267,837169.579173235,12852.931007358267,12852.931007358267,4905.42617093578,658.7345276186466
cma,bbob_f002_i76_d05,2,5,76,0,contract,12852.931007358267,237080.44457580423,12852.931007358267,12852.931007358267,11729.028328944845,4858.006702433398
cma,bbob_f002_i76_d05,2,5,76,0,contract_clip,12852.931007358267,237080.44457580423,12852.931007358267,12852.931007358267,11729.028328944845,4858.006702433398
cma,bbob_f002_i76_d05,2,5,76,1,pass,19067.206697670095,332530.5346285365,19067.206697670095,19067.206697670095,3083.1388897575175,1308.901609116009
cma,bbob_f002_i76_d05,2,5,76,1,contract,19067.206697670095,151366.94156652153,19067.206697670095,19067.206697670095,896.2590873295711,896.2590873295711
cma,bbob_f002_i76_d05,2,5,76,1,contract_clip,19067.206697670095,151366.94156652153,19067.206697670095,19067.206697670095,896.2590873295711,896.2590873295711
cma,bbob_f003_i75_d05,3,5,75,0,pass,-16.297598436040026,38.55797634988534,-16.297598436040026,-42.20284052562839,-42.20284052562839,-42.20284052562839
cma,bbob_f003_i75_d05,3,5,75,0,contract,-16.297598436040026,10.202468348785303,-16.297598436040026,-16.297598436040026,-33.682536767712456,-33.682536767712456
cma,bbob_f003_i75_d05,3,5,75,0,contract_clip,-16.297598436040026,14.889976370887794,-16.297598436040026,-23.332677977700726,-35.50694420395741,-41.15053818319516
cma,bbob_f003_i75_d05,3,5,75,1,pass,-11.093490435163005,78.30486186520805,-11.093490435163005,-11.093490435163005,-15.23765118266764,-25.12848551744858
cma,bbob_f003_i75_d05,3,5,75,1,contract,-11.093490435163005,8.914961948949937,-11.093490435163005,-11.093490435163005,-35.66560115622976,-35.66560115622976
cma,bbob_f003_i75_d05,3,5,75,1,contract_clip,-11.093490435163005,8.914961948949937,-11.093490435163005,-11.093490435163005,-35.66560115622976,-35.66560115622976
cma,bbob_f003_i76_d05,3,5,76,0,pass,-580.5311578421138,-536.5558907871939,-580.5311578421138,-580.5311578421138,-582.1753957931993,-582.1753957931993
cma,bbob_f003_i76_d05,3,5,76,0,contract,-580.5311578421138,-556.2650476006515,-580.5311578421138,-580.5311578421138,-591.9402029932345,-591.9402029932345
cma,bbob_f003_i76_d05,3,5,76,0,contract_clip,-580.5311578421138,-556.2650476006515,-580.5311578421138,-580.5311578421138,-591.9402029932345,-591.9402029932345
cma,bbob_f003_i76_d05,3,5,76,1,pass,-569.7640307511415,-529.8603470881436,-569.7640307511415,-569.7640307511415,-571.1437779824944,-580.8539847327103
cma,bbob_f003_i76_d05,3,5,76,1,contract,-569.7640307511415,-515.2961257089881,-569.7640307511415,-569.7640307511415,-587.5206100457577,-587.5206100457577
cma,bbob_f003_i76_d05,3,5,76,1,contract_clip,-569.7640307511415,-513.2263817472472,-569.7640307511415,-569.7640307511415,-576.0838858271566,-580.3699534824216
cma,bbob_f004_i75_d05,4,5,75,0,pass,-12.741156279373868,23.49225471158985,-12.741156279373868,-12.741156279373868,-16.978585931170898,-36.4015891412032
cma,bbob_f004_i75_d05,4,5,75,0,contract,-12.741156279373868,1.8373529359391938,-12.741156279373868,-12.741156279373868,-32.82068720974382,-32.82068720974382
cma,bbob_f004_i75_d05,4,5,75,0,contract_clip,-12.741156279373868,1.8373529359391938,-12.741156279373868,-12.741156279373868,-32.82068720974382,-32.82068720974382
cma,bbob_f004_i75_d05,4,5,75,1,pass,-17.221094910598154,71.3532451323809,-17.221094910598154,-17.221094910598154,-24.033652772914813,-38.598751249897795
cma,bbob_f004_i75_d05,4,5,75,1,contract,-17.221094910598154,18.32418589934558,-17.221094910598154,-17.221094910598154,-29.366419891985792,-33.009810167082804
cma,bbob_f004_i75_d05,4,5,75,1,contract_clip,-17.221094910598154,18.32418589934558,-17.221094910598154,-17.221094910598154,-29.366419891985792,-33.009810167082804
cma,bbob_f004_i76_d05,4,5,76,0,pass,-527.8944944936533,-465.8923149536341,-527.8944944936533,-546.5018893432074,-560.6105886944073,-563.7708774874333
cma,bbob_f004_i76_d05,4,5,76,0,contract,-527.8944944936533,-499.27135200582865,-527.8944944936533,-548.8329525372692,-558.3491203260148,-569.4617622950078
cma,bbob_f004_i76_d05,4,5,76,0,contract_clip,-527.8944944936533,-497.63204309539157,-527.8944944936533,-548.4754286272707,-566.0516616290846,-571.4130705996155
cma,bbob_f004_i76_d05,4,5,76,1,pass,-543.6271780951785,-520.4447215537112,-543.6271780951785,-551.8061078242492,-553.6396560578353,-579.6044137374323
cma,bbob_f004_i76_d05,4,5,76,1,contract,-543.6271780951785,-515.4840419152642,-543.6271780951785,-551.8061078242492,-551.8061078242492,-576.710381556779
cma,bbob_f004_i76_d05,4,5,76,1,contract_clip,-543.6271780951785,-513.3782775390854,-543.6271780951785,-551.8061078242492,-567.4353343086614,-573.7830247810897
cma,bbob_f005_i75_d05,5,5,75,0,pass,-90.36793023394658,-88.32995714074485,-90.36793023394658,-90.36793023394658,-94.07274746194767,-95.93161004196956
cma,bbob_f005_i75_d05,5,5,75,0,contract,-90.36793023394658,-85.9070246385648,-90.36793023394658,-90.36793023394658,-91.38315789400897,-92.26410364628269
cma,bbob_f005_i75_d05,5,5,75,0,contract_clip,-90.36793023394658,-85.9070246385648,-90.36793023394658,-90.36793023394658,-91.38315789400897,-92.26410364628269
cma,bbob_f005_i75_d05,5,5,75,1,pass,-94.61203354282016,-80.80102216958029,-94.61203354282016,-94.61203354282016,-94.61203354282016,-94.61203354282016
cma,bbob_f005_i75_d05,5,5,75,1,contract,-94.61203354282016,-84.5570981976131,-94.61203354282016,-94.61203354282016,-94.61203354282016,-94.61203354282016
