problem,function,instance,dimension,seed,mode,popsize,baseline_best,pass_proposal_f,first_f,best_h1,best_h10,best_h50,best_h400,mean_shift_generation,sigma_ratio_generation,trace_ratio_generation,condition_ratio_generation,sigma_ratio_final,trace_ratio_final
bbob_f001_i79_d20,1,79,20,0,pass,12,-995.5452843770004,-990.2294169415632,-990.2294169415632,-995.5452843770004,-996.7736153996634,-997.6088100952329,-999.7860359039556,0.7086703871966349,0.9386369135867526,0.9945950441619656,0.9912798511879334,0.2464433290584444,0.8654107719908001
bbob_f001_i79_d20,1,79,20,0,direct,12,-995.5452843770004,,-994.7471184653489,-995.5452843770004,-996.7736153996634,-996.7736153996634,-999.8260543322225,0.7945625959389592,0.9397040402972129,0.9938185220255837,0.9953245747844123,0.22033219635413534,0.8630792028278826
bbob_f001_i79_d20,1,79,20,0,inject,12,-995.5452843770004,,-994.7471184653489,-995.5452843770004,-996.7736153996634,-997.0718648170584,-999.824078521815,0.7945625959389592,0.9397040402972129,0.9937088895934852,0.9926026524289663,0.2042269634304448,0.8580296304548598
bbob_f001_i79_d20,1,79,20,1,pass,12,-994.4187157476,-993.806360297062,-993.806360297062,-994.4187157476,-995.8649545827923,-996.9276554100371,-999.9327239543297,0.9989249247837928,0.9390275792238667,0.9934074385230008,1.0028530353280432,0.14959911434217363,0.8363044356226721
bbob_f001_i79_d20,1,79,20,1,direct,12,-994.4187157476,,-996.4064681569375,-996.4064681569375,-996.4064681569375,-996.8111003306666,-999.8279475852408,0.7264633261449853,0.9283431651592472,0.9914925722705983,1.0042062125710642,0.2185207771027816,0.8538582614240466
bbob_f001_i79_d20,1,79,20,1,inject,12,-994.4187157476,,-996.4064681569375,-996.4064681569375,-996.4064681569375,-997.8405305719622,-999.7370909073487,0.7264633261449853,0.9283431651592472,0.9913638327495082,0.997453811662646,0.21244911411135387,0.8654350188468627
bbob_f001_i79_d20,1,79,20,2,pass,12,-996.6768650047914,-994.4467419168272,-994.4467419168272,-996.6768650047914,-996.6768650047914,-997.2738026301629,-999.923949817628,0.7299340023208757,0.9517387389834306,0.9949732871505138,1.0167770887886265,0.18269718830083637,0.8586267286309979
bbob_f001_i79_d20,1,79,20,2,direct,12,-996.6768650047914,,-997.2890550797091,-997.2890550797091,-997.2890550797091,-998.7469613520163,-999.9266623328631,0.678128471517974,0.9424583704765032,0.9940467230681893,1.0210675775386124,0.14540204446793453,0.8479689094140718
bbob_f001_i79_d20,1,79,20,2,inject,12,-996.6768650047914,,-997.2890550797091,-997.2890550797091,-997.2890550797091,-998.0577716453604,-999.9305970111095,0.6540566054274859,0.9394552524168979,0.9935822111987814,1.0163144146332443,0.152609651814359,0.8499881647971292
bbob_f001_i79_d20,1,79,20,3,pass,12,-997.2307338760949,-995.2020101889391,-995.2020101889391,-997.2307338760949,-997.2307338760949,-997.7533029478383,-999.8950702021109,0.7559951925136187,0.9502431948803359,0.995980474557334,1.0104554872610374,0.21467965029843464,0.86004154940962
bbob_f001_i79_d20,1,79,20,3,direct,12,-997.2307338760949,,-996.6711107831093,-997.2307338760949,-997.2307338760949,-998.060164031034,-999.9061422067301,0.7851790018370786,0.9602405012935575,0.9949061621159246,1.010192688738246,0.17543761583677991,0.856700974606838
bbob_f001_i79_d20,1,79,20,3,inject,12,-997.2307338760949,,-996.6711107831093,-997.2307338760949,-997.2307338760949,-997.9992168198663,-999.8895813807426,0.7851790018370786,0.9602405012935575,0.9948049391665287,1.0075263546508366,0.19244976348565226,0.8549427082467546
bbob_f001_i80_d20,1,80,20,0,pass,12,-40.085024664118286,-36.25929330151794,-36.25929330151794,-40.085024664118286,-40.11913393713241,-40.71812636384859,-41.502588306512436,0.6256228134049284,0.9151929947929138,0.9927662406632598,0.9942175415749365,0.21628802912232056,0.8587682589441209
bbob_f001_i80_d20,1,80,20,0,direct,12,-40.085024664118286,,-39.1206259431842,-40.085024664118286,-40.11913393713241,-40.29413581783778,-41.530263431166425,0.6102654369758033,0.9109940418227831,0.9922957751238802,0.99762456129199,0.1767187292997342,0.8603140032322198
