host,problem,function,dimension,instance,seed,action,baseline_best,first_f,best_h1,best_h10,best_h50,best_h200
de,bbob_f001_i73_d10,1,10,73,0,pass,-569.2689256248822,-527.4079885279933,-569.2689256248822,-569.2689256248822,-569.2689256248822,-582.0847664288339
de,bbob_f001_i73_d10,1,10,73,0,contract,-569.2689256248822,-553.9320473853468,-569.2689256248822,-569.2689256248822,-569.2689256248822,-577.1062159780317
de,bbob_f001_i73_d10,1,10,73,0,reflect,-569.2689256248822,-415.5552309736157,-569.2689256248822,-569.2689256248822,-569.2689256248822,-581.5921697261302
pso,bbob_f001_i73_d10,1,10,73,0,pass,-587.9486028778097,-580.0030383263627,-587.9486028778097,-587.9486028778097,-587.9486028778097,-591.2673307285899
pso,bbob_f001_i73_d10,1,10,73,0,contract,-587.9486028778097,-588.4951747570648,-588.4951747570648,-588.4951747570648,-588.4951747570648,-591.0301219219875
pso,bbob_f001_i73_d10,1,10,73,0,reflect,-587.9486028778097,-570.7475123700025,-587.9486028778097,-587.9486028778097,-587.9486028778097,-592.1744013502164
cma,bbob_f001_i73_d10,1,10,73,0,pass,-591.6891915969453,-585.3459656947764,-591.6891915969453,-591.6891915969453,-592.3339680762949,-593.7516606269586
cma,bbob_f001_i73_d10,1,10,73,0,contract,-591.6891915969453,-589.3530027293148,-591.6891915969453,-591.6891915969453,-592.4894427632986,-593.7152716816641
cma,bbob_f001_i73_d10,1,10,73,0,reflect,-591.6891915969453,-585.7549532117054,-591.6891915969453,-591.6891915969453,-592.994468292701,-593.7399983514658
de,bbob_f001_i73_d10,1,10,73,1,pass,-547.0746806324667,-507.92475906600214,-547.0746806324667,-547.0746806324667,-547.0746806324667,-566.7895566780371
de,bbob_f001_i73_d10,1,10,73,1,contract,-547.0746806324667,-555.6314022811134,-555.6314022811134,-555.6314022811134,-555.6314022811134,-562.3462309238857
de,bbob_f001_i73_d10,1,10,73,1,reflect,-547.0746806324667,-450.7629594886032,-547.0746806324667,-547.0746806324667,-547.0746806324667,-566.7895566780371
pso,bbob_f001_i73_d10,1,10,73,1,pass,-584.3354324817539,-560.3334877212253,-584.3354324817539,-584.3354324817539,-590.0362787215282,-592.019677514384
pso,bbob_f001_i73_d10,1,10,73,1,contract,-584.3354324817539,-576.863438960137,-584.3354324817539,-584.3354324817539,-590.0362787215282,-592.019677514384
pso,bbob_f001_i73_d10,1,10,73,1,reflect,-584.3354324817539,-536.599497393368,-584.3354324817539,-584.3354324817539,-590.0362787215282,-592.019677514384
cma,bbob_f001_i73_d10,1,10,73,1,pass,-593.1330214801695,-593.3019655224955,-593.3019655224955,-593.3019655224955,-593.5731904763644,-593.8154190829297
cma,bbob_f001_i73_d10,1,10,73,1,contract,-593.1330214801695,-593.5515105430218,-593.5515105430218,-593.5515105430218,-593.5515105430218,-593.7490908266401
cma,bbob_f001_i73_d10,1,10,73,1,reflect,-593.1330214801695,-591.2798067234168,-593.1330214801695,-593.3008699822611,-593.3008699822611,-593.714250919367
de,bbob_f001_i74_d10,1,10,74,0,pass,-963.431415845378,-897.2074706047879,-963.431415845378,-963.431415845378,-963.431415845378,-989.2277021137495
de,bbob_f001_i74_d10,1,10,74,0,contract,-963.431415845378,-982.4840408300056,-982.4840408300056,-982.4840408300056,-982.4840408300056,-982.4840408300056
de,bbob_f001_i74_d10,1,10,74,0,reflect,-963.431415845378,-796.1922054090013,-963.431415845378,-963.431415845378,-963.431415845378,-989.2277021137495
pso,bbob_f001_i74_d10,1,10,74,0,pass,-986.8778771461748,-979.0618582961725,-986.8778771461748,-991.47134168149,-993.3883508098071,-997.4384339012003
pso,bbob_f001_i74_d10,1,10,74,0,contract,-986.8778771461748,-987.6984087805306,-987.6984087805306,-987.6984087805306,-987.6984087805306,-995.8191988050665
pso,bbob_f001_i74_d10,1,10,74,0,reflect,-986.8778771461748,-939.8131256500071,-986.8778771461748,-991.47134168149,-993.3883508098071,-997.4854456467564
cma,bbob_f001_i74_d10,1,10,74,0,pass,-998.1178245052632,-997.6755315577933,-998.1178245052632,-998.1178245052632,-999.6767241993474,-999.9468408898292
cma,bbob_f001_i74_d10,1,10,74,0,contract,-998.1178245052632,-998.4630875458394,-998.4630875458394,-998.4630875458394,-999.0660387692895,-999.9362835622405
cma,bbob_f001_i74_d10,1,10,74,0,reflect,-998.1178245052632,-992.264048041,-998.1178245052632,-998.1178245052632,-999.8041799729862,-999.9660028094588
de,bbob_f001_i74_d10,1,10,74,1,pass,-966.2547988547838,-926.378683841262,-966.2547988547838,-966.2547988547838,-966.2547988547838,-968.1897506126809
de,bbob_f001_i74_d10,1,10,74,1,contract,-966.2547988547838,-974.202212373073,-974.202212373073,-974.202212373073,-974.202212373073,-980.5551606338187
de,bbob_f001_i74_d10,1,10,74,1,reflect,-966.2547988547838,-881.7420064241828,-966.2547988547838,-966.2547988547838,-966.2547988547838,-972.2525502180486
pso,bbob_f001_i74_d10,1,10,74,1,pass,-982.1426556625516,-956.7630584688593,-982.1426556625516,-982.1426556625516,-988.5435759284278,-996.1003065169242
pso,bbob_f001_i74_d10,1,10,74,1,contract,-982.1426556625516,-974.3405029232713,-982.1426556625516,-982.1426556625516,-988.5435759284278,-995.636009527245
pso,bbob_f001_i74_d10,1,10,74,1,reflect,-982.1426556625516,-919.1764967495599,-982.1426556625516,-982.1426556625516,-988.5435759284278,-995.636009527245
cma,bbob_f001_i74_d10,1,10,74,1,pass,-998.3906428238618,-998.2266375011508,-998.3906428238618,-998.7331193935255,-999.7480994952559,-999.9200303487128
cma,bbob_f001_i74_d10,1,10,74,1,contract,-998.3906428238618,-998.3157469785195,-998.3906428238618,-998.7331193935255,-999.5463206865996,-999.9702436657001
cma,bbob_f001_i74_d10,1,10,74,1,reflect,-998.3906428238618,-996.0136707465383,-998.3906428238618,-998.7331193935255,-999.2093019891507,-999.8755793871161
de,bbob_f002_i73_d10,2,10,73,0,pass,629053.0774085324,3614479.727305098,629053.0774085324,270969.04643777985,270969.04643777985,215157.6054288989
de,bbob_f002_i73_d10,2,10,73,0,contract,629053.0774085324,1444910.1884821886,629053.0774085324,270969.04643777985,270969.04643777985,137349.13242238143
de,bbob_f002_i73_d10,2,10,73,0,reflect,629053.0774085324,8370474.746195492,629053.0774085324,270969.04643777985,270969.04643777985,215157.6054288989
pso,bbob_f002_i73_d10,2,10,73,0,pass,74724.74637909033,284892.2336084824,74724.74637909033,74724.74637909033,74724.74637909033,24249.262774423478
pso,bbob_f002_i73_d10,2,10,73,0,contract,74724.74637909033,141305.0709572866,74724.74637909033,74724.74637909033,74724.74637909033,24249.262774423478
pso,bbob_f002_i73_d10,2,10,73,0,reflect,74724.74637909033,18667011.856627863,74724.74637909033,74724.74637909033,74724.74637909033,24249.262774423478
cma,bbob_f002_i73_d10,2,10,73,0,pass,54980.73469267919,68342.51451490575,54980.73469267919,54980.73469267919,21617.111157345975,4727.681276340206
cma,bbob_f002_i73_d10,2,10,73,0,contract,54980.73469267919,56734.898002654525,54980.73469267919,54980.73469267919,26562.6701338392,6948.637256568151
cma,bbob_f002_i73_d10,2,10,73,0,reflect,54980.73469267919,2506797.031936056,54980.73469267919,54980.73469267919,20911.94178894113,18778.991803787885
de,bbob_f002_i73_d10,2,10,73,1,pass,320005.58196017105,1211347.0320084607,320005.58196017105,320005.58196017105,186883.63760725383,148523.06894311414
de,bbob_f002_i73_d10,2,10,73,1,contract,320005.58196017105,441362.840439275,320005.58196017105,320005.58196017105,320005.58196017105,70120.85441520155
de,bbob_f002_i73_d10,2,10,73,1,reflect,320005.58196017105,1478900.2281491533,320005.58196017105,320005.58196017105,186883.63760725383,148523.06894311414
pso,bbob_f002_i73_d10,2,10,73,1,pass,77978.54014102744,230122.29791507273,77978.54014102744,77978.54014102744,48284.200580245466,24867.256695429354
pso,bbob_f002_i73_d10,2,10,73,1,contract,77978.54014102744,135816.88504039482,77978.54014102744,77978.54014102744,48284.200580245466,24867.256695429354
pso,bbob_f002_i73_d10,2,10,73,1,reflect,77978.54014102744,9615239.40244337,77978.54014102744,77978.54014102744,48284.200580245466,24867.256695429354
