host,problem,function,dimension,instance,seed,action,baseline_best,first_f,best_h1,best_h10,best_h50,best_h100
de,bbob_f001_i71_d05,1,5,71,0,pass,197.64407205127213,216.48746627864767,197.64407205127213,197.64407205127213,188.10815494094803,188.10815494094803
de,bbob_f001_i71_d05,1,5,71,0,contract,197.64407205127213,200.81078316837718,197.64407205127213,197.64407205127213,192.75322857776962,186.10755137605446
de,bbob_f001_i71_d05,1,5,71,0,reflect,197.64407205127213,231.86869918469458,197.64407205127213,197.64407205127213,186.9543373541483,186.9543373541483
pso,bbob_f001_i71_d05,1,5,71,0,pass,186.70922423270517,187.65867319543503,186.70922423270517,186.44477932053982,184.20004642554707,183.1779680441798
pso,bbob_f001_i71_d05,1,5,71,0,contract,186.70922423270517,185.68141129274554,185.68141129274554,185.68141129274554,183.53628921633697,183.53628921633697
pso,bbob_f001_i71_d05,1,5,71,0,reflect,186.70922423270517,194.2168868184058,186.70922423270517,186.44477932053982,185.35020475531837,183.31037074334614
cma,bbob_f001_i71_d05,1,5,71,0,pass,183.69068050291767,183.93810557101452,183.69068050291767,183.09069717430052,183.040981231183,183.02736316605836
cma,bbob_f001_i71_d05,1,5,71,0,contract,183.69068050291767,183.56375507394358,183.56375507394358,183.11008113713248,183.07916159592847,183.01838328333255
cma,bbob_f001_i71_d05,1,5,71,0,reflect,183.69068050291767,186.08049843504517,183.69068050291767,183.69068050291767,183.0636845574437,183.01958333561862
de,bbob_f001_i71_d05,1,5,71,1,pass,186.89300507777472,201.51493385305224,186.89300507777472,186.89300507777472,186.89300507777472,186.89300507777472
de,bbob_f001_i71_d05,1,5,71,1,contract,186.89300507777472,190.26622401079314,186.89300507777472,186.89300507777472,186.89300507777472,186.89300507777472
de,bbob_f001_i71_d05,1,5,71,1,reflect,186.89300507777472,216.51038469258845,186.89300507777472,186.89300507777472,186.89300507777472,185.18689449128948
pso,bbob_f001_i71_d05,1,5,71,1,pass,185.9770143234948,190.147292617148,185.9770143234948,185.9770143234948,183.80751366153413,183.80751366153413
pso,bbob_f001_i71_d05,1,5,71,1,contract,185.9770143234948,186.72772020232674,185.9770143234948,185.9770143234948,183.80751366153413,183.80751366153413
pso,bbob_f001_i71_d05,1,5,71,1,reflect,185.9770143234948,214.70748767511324,185.9770143234948,185.9770143234948,183.80751366153413,183.80751366153413
cma,bbob_f001_i71_d05,1,5,71,1,pass,183.47346375322434,184.4273655957494,183.47346375322434,183.47346375322434,183.02318029332267,183.02318029332267
cma,bbob_f001_i71_d05,1,5,71,1,contract,183.47346375322434,183.38351885690122,183.38351885690122,183.38351885690122,183.10743395628728,183.04019966150943
cma,bbob_f001_i71_d05,1,5,71,1,reflect,183.47346375322434,187.27827184749935,183.47346375322434,183.47346375322434,183.05657815374678,183.02595880729857
de,bbob_f001_i72_d05,1,5,72,0,pass,190.68263742369376,260.43176438135396,190.68263742369376,190.50120166940388,188.0033090686882,187.5453763828136
de,bbob_f001_i72_d05,1,5,72,0,contract,190.68263742369376,216.11174530574044,190.68263742369376,190.50120166940388,188.0033090686882,187.5453763828136
de,bbob_f001_i72_d05,1,5,72,0,reflect,190.68263742369376,229.48238655043411,190.68263742369376,190.50120166940388,188.0033090686882,187.5453763828136
